أدب وشعر | نتالي أغرودة أيلول زهير دعيم | موقع الغزال https://t.co/W38kMzVSZR
اخبار محلية | بيان صادر عن لجنة المتابعة العليا لشؤون الجماهير العربية | موقع الغزال https://t.co/mXLnUly4ho
أراء حرة | طبتِ .. وسلمتِ | موقع الغزال https://t.co/pyy2PxDGJ3
منوعات | إطلاق منتج عالمي في إسرائيل | موقع الغزال https://t.co/ea0LDl9ZOQ
مطبخ | كعكة كافيه نميس - عليت | موقع الغزال https://t.co/RuxrwSR5d3
اخبار محلية | احياء احتفال بعيد الفطر من قبل سلطة تصريف جداول الكيشون المقطع | موقع الغزال https://t.co/6RsfQd1G9b
منوعات | جديد! دوريتوس مع أكياس بهارات لتقوية الطعم. أضيفوا أضيفوا | موقع الغزال https://t.co/nSbl4j4FJh
عالم الفن | رضى الجاوي..يطلق سنغل جديد بعنوان | موقع الغزال https://t.co/XfDpIwL8CL
اخبار محلية | مدرسة غرناطة الثانوية تحظى ببرنامج خاص لطالباتها المتفوقات | موقع الغزال https://t.co/vnXpsdZiNI
منوعات | بمناسبة موسم الأعراس | موقع الغزال https://t.co/nSKCXOAp6c
اجتماعيات | تهنئه من القلب لممتحن السياقه فادي الياس | موقع الغزال https://t.co/63mMDmakmy
اخبار محلية | النائب عيساوي فريج يرحب بأمر الوزير شتاينتس ربط بيوت بالكهرباء خلال 30 يوماً | موقع الغزال https://t.co/iqAxoUP3kz
صحه | قضاء وقت الفراغ والتمتع بمشاهدة المباريات | موقع الغزال https://t.co/BELnPhS0a2
فنجان ثقافة | الفنان محمد بكري يحلّ ضيفا على مهرجان اسطنبول للأفلام الوثائقية | موقع الغزال https://t.co/lWliWLzEzN
اخبار محلية | عودة يستنكر بشدة تلكؤ الشرطة بالتحقيق بمقتل زبيدة منصور | موقع الغزال https://t.co/rIW3F6A5zp
اخبار محلية | عودة يستنكر بشدة تلكؤ الشرطة بالتحقيق بمقتل زبيدة منصور | موقع الغزال https://t.co/ZvN2Elo7ha
فنجان ثقافة | طالبات كليّة الفنون في بيت بيرل ينظّمن برامج ارشاد باللغة العربيّة في متحفيّ تل أبيب وهرتسليا | موقع الغزال https://t.co/Qb7uSKwZ5T
أدب وشعر | (وين عَ.. رامالله) هاشم ذياب | موقع الغزال https://t.co/Mg3X8bNbcA
صحه | نصائح من خبراء كلاليت لإستقبال عيد الفطر بصحة وحيوية | موقع الغزال https://t.co/JIOIyG11FP
أدب وشعر | زجل المونديال والتّحدّي بقلم: اسماء طنوس المكر | موقع الغزال https://t.co/o2Z31PagWN
اخبار محلية | اجتماع تأسيسي واسع للمجلس النسائي للعربية للتغيير | موقع الغزال https://t.co/vMh1Y93oIM
أراء حرة | نحن والوقت زهير دعيم | موقع الغزال https://t.co/Vcivzotr2s
اخبار محلية | بيان صادر عن لجنة المتابعة العليا لشؤون الجماهير العربية | موقع الغزال https://t.co/pIne2v98zH
منوعات | فنان العطور نرسيسو رودريجز | موقع الغزال https://t.co/JrvpxQNbKA
أخبار عبلين | الخيمة الرمضانية تختتم البرنامج الرمضاني بمسيرة تكبيرات العيد | موقع الغزال https://t.co/n7yQTEbO8G
اخبار محلية | بعد توجه النائب جبارين: وزارة المعارف تلتزم بتوفير كل امتحانات البجروت بالعربية | موقع الغزال https://t.co/Vo0KkFTkWZ
اخبار محلية | زيارة مدرسة كرم الصاحب للصم والمكفوفين | موقع الغزال https://t.co/SDWEsXbYF9
أخبار شفاعمرو | اختتام مسيرة الكتاب في مدرسة البصلية شفاعمرو | موقع الغزال https://t.co/7OJvdCvqEu
أخبار عبلين | المجلس الملي الارثوذكسي في عبلين يهنىء بعيد الفطر السعيد | موقع الغزال https://t.co/dp6cMXOTFx
أخبار الكنيست | بشرى للصيادلة العرب: الكنيست تصادق بالقراءة التمهيدية | موقع الغزال https://t.co/zcGeqvJLPM
اخبار محلية | جبهة الناصرة: نريد لمدينتنا أن تكون بما يليق بأهلها وتاريخها | موقع الغزال https://t.co/PeBdRlAezD
وين تسهر | الفنانين رفعت اسدي زهافا بن ونسرين قادري بالكعبية طباش حجاجرة في عيد الفطر السعيد | موقع الغزال https://t.co/rENHp5wPjO
أدب وشعر | زجل : العيد رَحْمِه بقلم : أسماء طنوس - المكر | موقع الغزال https://t.co/XDQjvJSbHS
اجتماعيات | ליטוש חיידר ليطوش حيدر يهنىء بعيد الفطر السعيد | موقع الغزال https://t.co/Ug1RtABHjm
منوعات | شركة باز غاز ابو صوي في كل بيت وحي تهنىء بعيد الفطر السعيد |  https://t.co/nZ33nzplmY
منوعات | شركة باز غاز ابو صوي في كل بيت وحي تهنىء بعيد الفطر السعيد | موقع الغزال https://t.co/nZ33nzplmY
منوعات | مركنتيل يهنىء بعيد الفطر السعيد | موقع الغزال https://t.co/YXU2iWAPdS
اخبار محلية | الإفطار الجماعيّ والأمسية الرمضانيّة رمضان الخير في بيت الحكمة غير 3 | https://t.co/aHp4GkHmID
اخبار محلية | الإفطار الجماعيّ والأمسية الرمضانيّة رمضان الخير في بيت الحكمة غير 3 | موقع الغزال https://t.co/aHp4GkHmID
أخبار عبلين | اختتام فعاليات خيمة رمضان في جمعية السلام | موقع الغزال https://t.co/ElNigdJxxl
اجتماعيات | خضار وفواكهه النجاح عبلين يهنئون بعيد الفطر السعيد | موقع الغزال https://t.co/RUveJOUT95
اجتماعيات | جبهة عبلين الديمقراطية تهنىء بعيد الفطر السعيد | موقع الغزال https://t.co/LNYImXAiF0
أخبار عبلين | شريف حيدر مرشح الرئاسة لمجلس عبلين يهنىء بعيد الفطر السعيد | موقع الغزال https://t.co/IAf6CIX76H
اجتماعيات | جبهة عبلين الديمقراطية تهنىء بعيد الفطر السعيد | موقع الغزال https://t.co/4BH0Mry8uG
اجتماعيات | جمعية الامل تهنىء بعيد الفطر السعيد | موقع الغزال https://t.co/8DqRQ3l6jk
منوعات | نزهة في العيد ومشاوي؟ ننصحكم بتغميس الحُمّص الجديد من | موقع الغزال https://t.co/uk2Eafuvfu
منوعات | ادارة واسرة جمعية جفرا للدبكة والفنون الشعبية عبلين تهنىء بعيد الفطر السعيد | موقع الغزال https://t.co/Satyynxdif
اخبار محلية | الكاتب نادر ابو تامر ضيف طلاب مدرسة عمر بن الخطاب في يوم مميز | موقع الغزال https://t.co/8ag4AJNS0U
أخبار سخنين | سخنين: إفطار جماعي في قاعة الريان بتنظيم ومبادرة شركة مياه الجليل | موقع الغزال https://t.co/BUceXXRWSk
أخبار عبلين | دعوة - مسيرة تكبيرات العيد بعد صلاة العشاء؛ ا | موقع الغزال https://t.co/MS5wiR2WNq
أخبار عبلين | عنان النجمي تتألق بمعرض رسوماتها في حفل التخرج بكلية اورنيم – قسم الفنون | موقع الغزال https://t.co/MBfapETgSG
اخبار محلية | في يوم المحيطات | موقع الغزال https://t.co/An2nsFipkb
أخبار عبلين | انتخاب خالد حمزة غزاوي (أبو حمزة) المرشح الأول في قائمة العضوية | موقع الغزال https://t.co/r3HY0cYmz6
منوعات | پلوچريوت وخبيرات ستايلينچ ومؤثرات على الرأي العام في الوسط العربي | موقع الغزال https://t.co/v9W4Rv2U7W
أخبار عبلين | جلسة احتفالية تكريمية للهيئة التمثيلية الارثوذكسية المنتخبة في عبلين | موقع الغزال https://t.co/LCbCi22lQB
منوعات | بنك مركنتيل يجمع ويوزّع طرودًا غذائية في الشهر الفضيل | موقع الغزال https://t.co/Fqyya23UOR
اخبار محلية | بالصور المئات يشاركون في إفطار الجماهيري شيكاغو اللد | موقع الغزال https://t.co/k4TKxz31Ze
منوعات | كپسولات إسپرسو من كافيه عليت بطعم الكراميل | موقع الغزال https://t.co/349hcUDM5A
أخبار شفاعمرو | العرض الدولي اغاني من بلدي يختتم موسم عروض معهد بيت الموسيقى شفاعمرو | موقع الغزال https://t.co/zGvlrwwECY
أخبار الكنيست | بناءً على اقتراح توما-سليمان | موقع الغزال https://t.co/CbeoCd0bYL
أخبار سخنين | سخنين: إفطار رمضاني لجمعيات ومشاريع ذوي التحديات | موقع الغزال https://t.co/WxpddGMuQY
عالم الفن | فؤاد عبد الواحد يساند المنتخبات العربية | موقع الغزال https://t.co/x9R2woBc3e
اخبار محلية | تطوّع وعطاء ومحبّة في الفريديس | موقع الغزال https://t.co/UBBBMZohwz
اخبار محلية | الهستدروت تعلن نزاع عمل يشمل العاملين في شركة بيليفون | موقع الغزال https://t.co/no1r1H9Yxn
أخبار شفاعمرو | البصليّة شفاعمرو عنوان العطاء والانتماء | موقع الغزال https://t.co/7pYZKY7j7B
