RT @NixonLibrary: #FabulousFLOTUSFriday  First Lady Pat Nixon and the President's dog King Timahoe at Casa Pacifica in nearby San Clemente…
RT @ikelib: Dreams Take Flight at Eisenhower! https://t.co/5bbQhaLhwG
RT @NixonLibrary: #OTD 3/1/1973 Prime Minister of Israel Golda Meir, President Nixon, and Dr. Henry Kissinger in the Oval Office. (Image: W…
RT @WhiteHouseHstry: Our current project on Life in the 20th Century White House is adding thousands of behind the scenes images of the Fir…
RT @ikelib: Pre-School Fair https://t.co/DjndtL1pRK
RT @ikelib: https://t.co/BSoV9IceP4
RT @ikelib: The Saint Monica Academy preschool program provides developmentally appropriate activities for your child.		On Tuesday, March 5…
RT @USNatArchives: Col. Percy Wyndham, he of the perfectly pointed beard and mustache, was an Englishman and a #CivilWar veteran  https://t…
RT @ikelib: Congratulations Taylor! https://t.co/Jpx450VBjF
RT @NixonLibrary: #OTD 3/2/69 President Nixon and French President de Gaulle.	Also shown: H. R. Haldeman, John Ehrlichman, Henry Kissinger,…
RT @Bush41Library: President Bush visits with actor Arnold Schwarzenegger, Chairman of the President's Council on Physical Fitness and Spor…
RT @BRInstitute: Be sure to check out the recording of our latest #educator #webinar here! https://t.co/g9PvB0psvC https://t.co/511mJmJTK4
RT @BRInstitute: Be sure to frequently check our #currentevents page for updates on what is happening in the country related to constitutio…
$5 for a $10 #Starbucks eGift Card https://t.co/ZbFdgtcJBz https://t.co/IiSLxFIujk
RT @JFKLibrary: This fall, more than 500 high school students from around Massachusetts participated in the 2018 Election-Year Debate Progr…
All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/n8VxyuONm3
Who was the oldest elected President? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/A99crSwIYR
Who was the only unanimously elected President by the Electoral College? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/B1isVYppt7
Who was the only President to serve more than two terms? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Thanks for FOLLOWING US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/AtcQR6fMTk
All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/ITb0NyhW9S
Who was the first President to be impeached? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/0bBLib4P0E
Franklin Pierce | #Franklin Pierce @USPresidents https://t.co/1MqwmG8uyr
All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/BnbTHEaZwJ
All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/er1iRNtL3O
Who was the only President to serve two non-consecutive terms? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Thanks for the FOLLOW on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/qCBfmxq8ZQ
All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/DOlCdnlPI5
Which U.S. President signed the treaty to purchase Alaska from Russia? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/UR0WRphUAd
Who was the first President to appear on TV? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/XE2DQCMLsZ
Who was the first President to appoint an African American to the Supreme Court? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/wGqQ8wnz3O
All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/gzNVBnMiAz
I honestly respect and want your opinion. As a matter of fact I fought for it! We want to know what you think without insulting those who think differently than you. #Respect #USPresidents
All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/blYo4kQ3rK
Who was the first President born outside the contiguous United States? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/GZauQ7Bv6u
Who was the first President to live in the White House? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/3YUIZwRpWj
Before the Twelfth Amendment was passed in 1804, how was the Vice President determined? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/3kJ0cnXEW2
Who was the oldest elected President? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/Xygbuj4l8a
Who was the only unanimously elected President by the Electoral College? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/7OP2S0oNcb
"The best argument against democracy is a five-minute conversation with the average voter" #WinstonChurchill #USPresidents
Who was the only President to serve more than two terms? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Thanks for FOLLOWING US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/lLV3UykEXm
All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/dyyA4d2y9f
Who was the first President to be impeached? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/C9kzdr2FGW
All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/6KrW0Uxuje
All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/nH62yuISDD
Who was the only President to serve two non-consecutive terms? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Thanks for the FOLLOW on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/fgkfv4Rs7k
All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/Eipbneaen8
Which U.S. President signed the treaty to purchase Alaska from Russia? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/8QeMr3AE5c
Who was the first President to appear on TV? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/RibJOUvjac
Who was the first President to appoint an African American to the Supreme Court? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/VVNbxRvSiX
All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/OlHANdG374
All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/l6alLdSXc8
Who was the first President born outside the contiguous United States? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/h6cVy8nE77
Who was the first President to live in the White House? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/euA0fI0a4h
Raise your hand if you know someone that could use a "Free introduction to Logic, Who Needs It?" #LibertyClassroom https://t.co/TlczZJdfAY
Before the Twelfth Amendment was passed in 1804, how was the Vice President determined? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/U6icxmAzfW
Who was the oldest elected President? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/6hmG9cmNMV
Who was the only unanimously elected President by the Electoral College? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/JiqWMvP70z
Who was the only President to serve more than two terms? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Thanks for FOLLOWING US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/4SGDHSjcXZ
All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/uAl6evTe0r
Who was the first President to be impeached? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/dnkojcwu9L
All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/YsaXEw0kpN
All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/L7OZEBAdL3
Who was the only President to serve two non-consecutive terms? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Thanks for the FOLLOW on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/3D5usWbhyO
All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/SDX3AUfD9p
Which U.S. President signed the treaty to purchase Alaska from Russia? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/xUNSNEXJzG
Who was the first President to appear on TV? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/jtVGddJW8i
Who was the first President to appoint an African American to the Supreme Court? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/FkwehE9Xmu
All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/ZmZggQD906
Contrary to popular belief, #GeorgeWashington had dentures made of gold, ivory, lead, and animal teeth.... not wood
All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/mDCcONlljt
Who was the first President born outside the contiguous United States? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/87KJIv8fYx
Who was the first President to live in the White House? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/0M7FNOQD9p
Before the Twelfth Amendment was passed in 1804, how was the Vice President determined? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/ECoIifXyj9
Who was the oldest elected President? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! FOLLOW US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/thHp7LbDgh
Who was the only unanimously elected President by the Electoral College? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/kcdfV48XCC
Who was the only President to serve more than two terms? All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Thanks for FOLLOWING US on Twitter and visit at https://t.co/hWf6HbcAoo https://t.co/9LGMaUa82k
All #USPresidents, First Families, Biographies, Presidential Photos, and historical events in real time! Visit at https://t.co/hWf6HbcAoo https://t.co/4xto6SG25x
